Portal da Transparência do Estado de Mato Grosso do Sul
Relatório de Despesas
Órgão: AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             
Período de 01/jan à 31/dez de 2018

Órgão;Categoria;Grupo de Despesa;Modalidade;Elemento de Despesa;Empenhado;Liquidado;Pago
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;PESSOAL E ENCARGOS SOCIAIS;Aplicações Diretas;"Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares";"2678398232,31";"2452510028,33";"2452485628,91"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Tranferências à União;Aposentadorias E Reformas                         ;"3650149,90";"3650149,90";"3650149,90"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Auxílio-Transporte;"3540,90";"3540,90";"3540,90"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Compensações ao RGPS;"4252036,41";"4252036,41";"4252036,41"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;PESSOAL E ENCARGOS SOCIAIS;Aplicações Diretas;Contratação por Tempo Determinado;"489814,30";"461960,30";"461302,31"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;PESSOAL E ENCARGOS SOCIAIS;"Aplicação Direta Decorrente de Operações entre Órgãos, Fundos e Entidades Integr";Contribuições Patronais ;"87529,75";"87529,75";"87529,75"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Despesas de Exercícios Anteriores;"60,00";"60,00";"60,00"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;PESSOAL E ENCARGOS SOCIAIS;Aplicações Diretas;Despesas de Exercícios Anteriores;"1458711,03";"1458711,03";"1455529,73"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Diárias - Civil;"949,34";"949,34";"949,34"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Indenizações e Restituições ;"72139,32";"72139,32";"72139,32"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Locação de Mão-de-Obra;"80788,42";"80788,42";"80788,42"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Material de Consumo;"12110,65";"12023,75";"12023,75"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;PESSOAL E ENCARGOS SOCIAIS;Aplicações Diretas;Outras Despesas Variáveis - Pessoal Civil;"12855,87";"11655,87";"11655,87"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;PESSOAL E ENCARGOS SOCIAIS;Aplicações Diretas;Outros Benefícios Assistenciais;"0,00";"0,00";"0,00"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Outros Benefícios Assistenciais do Servidor ou do militar;"28131,38";"28131,38";"28131,38"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;PESSOAL E ENCARGOS SOCIAIS;Aplicações Diretas;Outros Benefícios Previdenciários do Servidor ou do Militar;"21938918,96";"21579058,29";"21299118,01"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Outros Serviços de Terceiros - Pessoa Física;"827284,78";"827284,78";"827284,78"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Outros Serviços de Terceiros - Pessoa Jurídica;"464809,76";"464439,71";"464278,76"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;PESSOAL E ENCARGOS SOCIAIS;Aplicações Diretas;Pensões do RPPS e do Militar;"399343855,17";"367125520,39";"367047614,45"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Sentenças Judiciais;"50297,83";"50297,83";"50297,83"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;OUTRAS DESPESAS CORRENTES;Aplicações Diretas;Serviços de Tecnologia da Informação e Comunicação-Pessoa Jurídica;"420,00";"420,00";"420,00"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;Despesas Correntes;PESSOAL E ENCARGOS SOCIAIS;Aplicações Diretas;Vencimentos e Vantagens Fixas - Pessoal Civil;"2140536,93";"1978590,93";"1978590,93"
