Portal da Transparência do Estado de Mato Grosso do Sul
Relatório de Despesas
Período de 01/jan à 31/dez de 2018

Órgão;Empenhado;Liquidado;Pago
AGÊNCIA DE DESENVOLVIMENTO AGRÁRIO E EXTENSÃO RURAL;"76872825,47";"73172876,68";"68638263,96"
AGÊNCIA DE HABITAÇÃO POPULAR DE MATO GROSSO DO SUL;"42373543,17";"41412816,03";"41266934,87"
AGENCIA DE PREVIDENCIA SOCIAL DE MATO GROSSO DO SUL                             ;"3113313173,01";"2854655316,63";"2854269070,75"
AGENCIA ESTADUAL DE ADM.DO SIST.PENITENCIARIO                                   ;"276619737,93";"257396901,82";"248947970,23"
"AGENCIA ESTADUAL DE DEFESA SANITÁRIA, ANIMAL E VEGETAL";"90336427,45";"87436805,72";"86045382,31"
AGENCIA ESTADUAL DE GESTAO DE EMPREENDIMENTOS                                   ;"844615281,96";"747328581,69";"745147959,95"
AGÊNCIA ESTADUAL DE METROLOGIA;"13095307,92";"12694439,82";"12129784,91"
AGENCIA ESTADUAL DE REGULACAO DE SERVICOS PUBLICOS                              ;"9397522,45";"8941597,57";"8773081,41"
CONTROLADORIA GERAL DO ESTADO                                                   ;"14339079,94";"14339079,94";"13492023,30"
DEFENSORIA PUBLICA DO ESTADO DE MS                                              ;"184627285,11";"184608466,72";"172023538,16"
DEPARTAMENTO ESTADUAL DE TRANSITO DE MS                                         ;"230972841,30";"224190420,22";"218300710,46"
EMPRESA DE GESTÃO DE RECURSOS MINERAIS;"18190,00";"18190,00";"15690,00"
ENCARGOS GERAIS DE RH E PATRIMONIO DO ESTADO                                    ;"9272812,38";"9272812,38";"8844099,97"
ENCARGOS GERAIS FINANCEIROS DO ESTADO                                           ;"1078870065,76";"1078870065,76";"1078832042,26"
"FUNDAÇÃO DE APOIO AO DESENVOLVIMENTO DO ENSINO, CIÊNCIA E TECNOLOGIA DO ESTADO ";"12356660,66";"12210259,55";"11366026,14"
FUNDAÇÃO DE CULTURA DE MATO GROSSO DO SUL;"41718727,60";"38697252,33";"35192929,47"
FUNDACAO DE DESPORTO E LAZER DE MS                                              ;"6555721,76";"3713451,57";"3639247,96"
FUNDAÇÃO DE TURISMO DE MATO GROSSO DO SUL;"4666608,54";"4511542,11";"4472431,40"
FUNDACAO DO TRABALHO DE MATO GROSSO DO SUL                                      ;"8900183,06";"8353279,11";"8033574,10"
FUNDACAO ESCOLA DE GOVERNO DE MS                                                ;"1286958,05";"1236901,46";"1236901,46"
FUNDAÇÃO ESTADUAL JORNALISTA LUIZ CHAGAS DE RÁDIO E TV EDUCATIVA DE MS;"9567555,21";"9554523,94";"9218595,97"
FUNDACAO SERVICOS DE SAUDE DE MS                                                ;"54915061,40";"48985834,69";"44449274,84"
FUNDACAO UNIVERSIDADE ESTADUAL DE MS                                            ;"187376934,91";"179768455,12";"177581687,58"
FUNDO DE DEFESA E REPARAÇÃO DE INTERESES DIFUSOS E LESADOS;"715810,16";"602899,36";"602899,36"
FUNDO DE HABITACAO DE INTERESSE SOCIAL;"95639,95";"88206,65";"88206,65"
FUNDO DE INVESTIMENTOS CULTURAIS DO ESTADO DE MATO GROSSO DO SUL;"10891,36";"10891,36";"10891,36"
FUNDO DE INVESTIMENTOS ESPORTIVOS                                               ;"10702240,90";"7561823,57";"7241926,62"
FUNDO ESP DESENV  APERF DAS ATIVID FAZENDARIA                                   ;"35727746,23";"34022274,53";"34022273,83"
FUNDO ESP P APERF DESENV ATIV DEFENSORIA PUB                                    ;"14427124,83";"12919095,68";"12917233,92"
FUNDO ESP. DA PROCURADORIA GERAL DO ESTADO                                      ;"8718441,23";"8675373,38";"8675373,38"
FUNDO ESPECIAL DE REEQUIPAMENTO DA SSP DE MS                                    ;"71384011,46";"65504784,17";"63756975,14"
FUNDO ESPECIAL DE SAUDE DE MS                                                   ;"1298984437,42";"1162766922,55";"1086714920,66"
FUNDO ESTADUAL DE ASSISTENCIA SOCIAL                                            ;"14780305,61";"14298018,53";"13761725,89"
FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR                             ;"1135899,87";"1090406,70";"1088319,71"
FUNDO ESTADUAL PARA A INFANCIA E A ADOLESCENCIA                                 ;"94851,00";"94851,00";"94851,00"
FUNDO PARA DESENVOLVIMENTO DAS CULTURAS DO MILHO E SOJA;"2429784,83";"2229784,83";"1979154,83"
FUNDO PARA O DESENVOLVIMENTO DO TURISMO DE MATO GROSSO DO SUL;"3000573,89";"2963159,09";"2963159,09"
FUNDO PENITENCIARIO DO ESTADO DE MATO GROSSO DO SUL                             ;"5042809,58";"2833867,73";"2833867,73"
INSTITUTO DE MEIO AMBIENTE DE MATO GROSSO DO SUL;"37580856,52";"34117162,98";"33210008,28"
JUNTA COMERCIAL DO ESTADO DE MATO GROSSO DO SUL;"8615654,82";"8386697,08";"8244389,68"
PROCURADORIA-GERAL DO ESTADO                                                    ;"207492339,48";"205053307,12";"202867416,45"
SECRETARIA DE ESTADO ADMINISTRACAO E DESBUROCRATIZACAO                          ;"116227364,43";"112047791,02";"109834545,56"
SECRETARIA DE ESTADO DE CULTURA E CIDADANIA;"4851241,50";"4658507,40";"4470751,48"
"SECRETARIA DE ESTADO DE DIREITOS HUMANOS,  ASSISTENCIA SOCIAL E TRABALHO        ";"178322132,40";"174145081,30";"168548058,68"
SECRETARIA DE ESTADO DE EDUCACAO                                                ;"2167158943,73";"2118040338,85";"2065321671,63"
SECRETARIA DE ESTADO DE FAZENDA                                                 ;"843440177,00";"813186978,77";"813169879,21"
